text,label
I’m not happy with the service quality,0
The area is unsafe and there’s no official support,1
Playing football with my team,0
Customer support didn’t respond to my issue,0
Going for a walk in the park,0
No one answers calls at the office,0
Feeling grateful today,0
Watching a movie tonight,0
Government hasn't provided any relief after the landslide,1
Enjoying my weekend at home,0
Roads are blocked and no help has arrived,1
Feeling grateful today,0
Train was late by two hours again,0
Watching a movie tonight,0
Had to wait too long at the restaurant,0
Still waiting for refund from last week,0
No one has come to clean the flooded streets yet,1
Government hasn't provided any relief after the landslide,1
No one has cleared the fallen trees blocking the roads,1
Maintenance team hasn’t fixed the lift yet,0
Government hasn't provided any relief after the landslide,1
Damaged houses and no support from authorities,1
Going for a walk in the park,0
The road near my house is full of potholes,0
Had to wait too long at the restaurant,0
Train was late by two hours again,0
The road near my house is full of potholes,0
No communication network after cyclone,1
Shelter is overcrowded and we need blankets,1
Government hasn't provided any relief after the landslide,1
Feeling grateful today,0
Bad experience with customer service,0
No communication network after cyclone,1
Hotel room wasn’t clean at all,0
Still waiting for refund from last week,0
No food or water since the cyclone hit,1
Going for a walk in the park,0
Customer support didn’t respond to my issue,0
No one has come to clean the flooded streets yet,1
Bad experience with customer service,0
Having coffee and relaxing,0
Roads are blocked and no help has arrived,1
Watching a movie tonight,0
Beautiful sunset at the beach,0
The product stopped working after one week,0
Beautiful sunset at the beach,0
Beautiful sunset at the beach,0
Going for a walk in the park,0
Feeling grateful today,0
Going for a walk in the park,0
"We have no electricity after the storm, please fix it soon",1
The bridge collapsed and no one came to repair it,1
No one has come to clean the flooded streets yet,1
The flood destroyed our crops and no aid received,1
People are trapped but rescue service isn’t responding,1
"We have no electricity after the storm, please fix it soon",1
Had a wonderful dinner with friends,0
Damaged houses and no support from authorities,1
They overcharged me for the order,0
We are running out of clean water after flood,1
Just finished reading a good book,0
Having coffee and relaxing,0
"We have no electricity after the storm, please fix it soon",1
The product stopped working after one week,0
People are trapped but rescue service isn’t responding,1
"We have no electricity after the storm, please fix it soon",1
Still waiting for rescue teams after the earthquake,1
We are running out of clean water after flood,1
The road near my house is full of potholes,0
Bad experience with customer service,0
Government hasn't provided any relief after the landslide,1
Playing football with my team,0
The flood destroyed our crops and no aid received,1
"We have no electricity after the storm, please fix it soon",1
Working on my new project,0
We are running out of clean water after flood,1
The delivery was delayed again,0
People are trapped but rescue service isn’t responding,1
The staff was rude to customers,0
Roads are blocked and no help has arrived,1
Train was late by two hours again,0
Working on my new project,0
Government hasn't provided any relief after the landslide,1
I’m not happy with the service quality,0
The parcel arrived damaged,0
Feeling grateful today,0
The delivery was delayed again,0
They overcharged me for the order,0
Enjoying my weekend at home,0
"We have no medicine after the storm, please help",1
No one answers calls at the office,0
Local hospital flooded and not functional,1
We are running out of clean water after flood,1
Roads are blocked and no help has arrived,1
Shelter is overcrowded and we need blankets,1
Damaged houses and no support from authorities,1
We are running out of clean water after flood,1
Feeling grateful today,0
People are trapped but rescue service isn’t responding,1
Beautiful sunset at the beach,0
"We have no medicine after the storm, please help",1
The flood destroyed our crops and no aid received,1
No one answers calls at the office,0
Beautiful sunset at the beach,0
No communication network after cyclone,1
App keeps crashing after update,0
We are running out of clean water after flood,1
The parcel arrived damaged,0
The staff was rude to customers,0
No communication network after cyclone,1
Had a wonderful dinner with friends,0
Going for a walk in the park,0
Government hasn't provided any relief after the landslide,1
"Our village is still underwater, please send help",1
No food or water since the cyclone hit,1
We are running out of clean water after flood,1
Working on my new project,0
